"id","group_id","permission_id"
"1","1","25"
"2","1","26"
"3","1","27"
"4","1","28"
"5","1","29"
"6","1","30"
"7","1","31"
"8","1","32"
"9","1","33"
"10","1","34"
"11","1","35"
"12","1","36"
"13","1","37"
"14","1","38"
"15","1","39"
"16","1","40"
"17","1","41"
"18","1","42"
"19","1","43"
"20","1","44"
"21","1","45"
"22","1","46"
"23","1","47"
"24","1","48"
"25","1","49"
"26","1","50"
"27","1","51"
"28","1","52"
"29","1","53"
"30","1","54"
"31","1","55"
"32","1","56"
"33","1","57"
"34","1","58"
"35","1","59"
"36","1","60"
"37","1","61"
"38","1","62"
"39","1","63"
"40","1","64"
"41","1","65"
"42","1","66"
"43","1","67"
"44","1","68"
"45","2","32"
"46","2","33"
"47","2","34"
"48","2","35"
"49","2","36"
"50","2","41"
"51","2","42"
"52","2","43"
"53","2","44"
"54","2","53"
"55","2","54"
"56","2","55"
"57","2","56"
"58","2","29"
"59","2","30"
"60","2","31"
"61","3","25"
"62","3","26"
"63","3","27"
"64","3","28"
"65","3","29"
"66","3","30"
"67","3","31"
"68","3","32"
"69","3","37"
"70","3","38"
"71","3","39"
"72","3","40"
"73","3","57"
"74","3","58"
"75","3","59"
"76","3","60"
"77","3","65"
"78","3","66"
"79","3","67"
"80","3","68"
"81","1","16"
"82","1","13"
"83","1","14"
"84","1","15"
