"id","name","content_type_id","codename"
"1","Can add log entry","1","add_logentry"
"2","Can change log entry","1","change_logentry"
"3","Can delete log entry","1","delete_logentry"
"4","Can view log entry","1","view_logentry"
"5","Can add permission","2","add_permission"
"6","Can change permission","2","change_permission"
"7","Can delete permission","2","delete_permission"
"8","Can view permission","2","view_permission"
"9","Can add group","3","add_group"
"10","Can change group","3","change_group"
"11","Can delete group","3","delete_group"
"12","Can view group","3","view_group"
"13","Can add user","4","add_user"
"14","Can change user","4","change_user"
"15","Can delete user","4","delete_user"
"16","Can view user","4","view_user"
"17","Can add content type","5","add_contenttype"
"18","Can change content type","5","change_contenttype"
"19","Can delete content type","5","delete_contenttype"
"20","Can view content type","5","view_contenttype"
"21","Can add session","6","add_session"
"22","Can change session","6","change_session"
"23","Can delete session","6","delete_session"
"24","Can view session","6","view_session"
"25","Can add album","7","add_album"
"26","Can change album","7","change_album"
"27","Can delete album","7","delete_album"
"28","Can view album","7","view_album"
"29","Can add artist","8","add_artist"
"30","Can change artist","8","change_artist"
"31","Can delete artist","8","delete_artist"
"32","Can view artist","8","view_artist"
"33","Can add genre","9","add_genre"
"34","Can change genre","9","change_genre"
"35","Can delete genre","9","delete_genre"
"36","Can view genre","9","view_genre"
"37","Can add song","10","add_song"
"38","Can change song","10","change_song"
"39","Can delete song","10","delete_song"
"40","Can view song","10","view_song"
"41","Can add top","11","add_top"
"42","Can change top","11","change_top"
"43","Can delete top","11","delete_top"
"44","Can view top","11","view_top"
"45","Can add subscription","12","add_subscription"
"46","Can change subscription","12","change_subscription"
"47","Can delete subscription","12","delete_subscription"
"48","Can view subscription","12","view_subscription"
"49","Can add settings","13","add_settings"
"50","Can change settings","13","change_settings"
"51","Can delete settings","13","delete_settings"
"52","Can view settings","13","view_settings"
"53","Can add playlist","14","add_playlist"
"54","Can change playlist","14","change_playlist"
"55","Can delete playlist","14","delete_playlist"
"56","Can view playlist","14","view_playlist"
"57","Can add country","15","add_country"
"58","Can change country","15","change_country"
"59","Can delete country","15","delete_country"
"60","Can view country","15","view_country"
"61","Can add client","16","add_client"
"62","Can change client","16","change_client"
"63","Can delete client","16","delete_client"
"64","Can view client","16","view_client"
"65","Can add audiobook","17","add_audiobook"
"66","Can change audiobook","17","change_audiobook"
"67","Can delete audiobook","17","delete_audiobook"
"68","Can view audiobook","17","view_audiobook"
"69","Can add artist of the week","18","add_artistoftheweek"
"70","Can change artist of the week","18","change_artistoftheweek"
"71","Can delete artist of the week","18","delete_artistoftheweek"
"72","Can view artist of the week","18","view_artistoftheweek"
