"id","name_tm","name_ru","image","modified","updated_by_id"
"16","Club","Клубная","images/genres/image_zM7L2b4.jpeg","20/9/2023 05:05:38.-1f+00","1"
"17","Hits 80","Хиты 80","images/genres/image_0fxG45o.jpeg","20/9/2023 05:06:16.-1f+00","1"
"36","Heavy metal","Тяжелый металл","images/genres/image_UcqCNwQ.jpg","8/12/2023 06:53:22.-1f+00","1"
"5","Rap","Реп","images/genres/360_F_476630734_xWGxB69fL9jDSJjzhboacAJxJ43kr3z9.jpg","31/7/2023 13:36:09.-1f+00","1"
"6","Hip-Hop","Хип-Хоп","images/genres/image.jpg","19/8/2023 06:33:21.-1f+00","1"
"18","Hits 90","Хиты 90","images/genres/image_amqL2Rh.jpeg","20/9/2023 05:06:59.-1f+00","1"
"8","Blues","Блюз","images/genres/image_a605EmJ.jpg","19/8/2023 12:31:38.-1f+00","1"
"20","Electonic music","Электронная музыка","images/genres/image_LT3LHnl.jpeg","20/9/2023 05:07:56.-1f+00","1"
"37","K-pop","К-поп","images/genres/image_APlktdv.jpg","14/12/2023 07:58:09.-1f+00","1"
"22","Folk Rock","Фолк-Рок","images/genres/image_3w7luhz.jpeg","20/9/2023 05:10:56.-1f+00","1"
"23","Classic","Классика","images/genres/image_I9275mi.jpeg","20/9/2023 05:11:35.-1f+00","1"
"7","Reggae","Reggae","images/genres/image_ke8bec9.jpg","19/12/2023 11:51:28.-1f+00","1"
"25","Folk","Народная","images/genres/image_RJopAWc.jpeg","20/9/2023 05:12:17.-1f+00","1"
"15","Pop","Поп","images/genres/image_9alniXP.jpg","20/8/2023 05:42:11.-1f+00","1"
"38","Indie-pop","инди-поп","images/genres/image_uGpWCa2.jpg","20/12/2023 06:40:13.-1f+00","1"
"19","Pop-Rock","Поп-рок","images/genres/image_J0ldM4N.jpg","23/8/2023 11:13:53.-1f+00","1"
"39","Instrumental music","Инструментальная музыка","images/genres/image_gt7127B.jpg","20/12/2023 07:31:29.-1f+00","1"
"21","R&B","R&B","images/genres/image_QuQAbRI.jpg","24/8/2023 13:57:24.-1f+00","1"
"40","House","Хаус","images/genres/image_eLbWT5V.jpg","25/12/2023 06:54:56.-1f+00","1"
"24","Instrumental rock","Инструментальный рок","images/genres/image_BKxaye5.jpeg","20/9/2023 05:13:05.-1f+00","1"
"10","Chanson","Шансон","images/genres/image.jpeg","20/9/2023 05:01:25.-1f+00","1"
"11","Romance","Романс","images/genres/image_rMLHb53.jpeg","20/9/2023 05:01:59.-1f+00","1"
"26","Deep House","Дип Хаус","images/genres/image_ieKfqzX.jpg","20/9/2023 10:58:26.-1f+00","1"
"12","Jazz","Джаз","images/genres/image_ZvNCPrv.jpeg","20/9/2023 05:03:03.-1f+00","1"
"27","Retro Music","Ретро Музыка","images/genres/image_X94tcUz.jpg","21/9/2023 08:30:59.-1f+00","1"
"13","Rock","Рок","images/genres/image_WLfq3CC.jpeg","20/9/2023 05:03:37.-1f+00","1"
"14","Country","Кантри","images/genres/image_lbnuxiB.jpeg","20/9/2023 05:04:08.-1f+00","1"
"28","Rock'n'Roll","Рок-н-ролл","images/genres/image_18yS4Da.jpg","29/9/2023 07:19:41.-1f+00","1"
"9","Disco","Диско","images/genres/image_vnQwaDw.jpeg","20/9/2023 05:04:50.-1f+00","1"
"29","Funk music","Фанк музыка","images/genres/image_Vuh61GM.jpg","2/10/2023 07:16:35.-1f+00","1"
"33","Hard-Rock","Хард-рок","images/genres/image_RrvUuIJ.jpg","17/11/2023 09:32:58.-1f+00","1"
"32","Dance","Танцевальная","images/genres/image_HtBIqlw.jpeg","23/11/2023 15:37:47.-1f+00","1"
"34","Alternative","Альтернатива","images/genres/image_fDEAYMX.jpeg","23/11/2023 15:39:28.-1f+00","1"
"31","Soul","Соул","images/genres/image_X1A4ncx.jpeg","23/11/2023 15:41:22.-1f+00","1"
"35","LATIN","LATIN","images/genres/image_r24Pc8S.jpg","29/11/2023 04:47:16.-1f+00","1"
